Time (s),Linear Displacement,Angular Displacement
0,-3.38310924,0
0.01,-462.9216008,0.521009049
0.02,-2255.596812,1.026987314
0.03,-5299.660887,1.500521715
0.04,-9464.685459,1.925184491
0.05,-14578.67111,2.285876482
0.06,-20436.57433,2.569202848
0.07,-26809.7484,2.763889497
0.08,-33455.78993,2.861236792
0.09,-40128.31147,2.85559259
0.1,-46586.21781,2.744809927
0.11,-52602.14156,2.530637894
0.12,-57969.78411,2.218980807
0.13,-62510.00094,1.819955611
0.14,-66075.55756,1.347685458
0.15,-68554.5558,0.81979174
0.16,-69872.58388,0.256586388
0.17,-69993.67708,-0.319985425
0.18,-68920.18817,-0.887556388
0.19,-66691.66447,-1.424575718
0.2,-63382.81689,-1.911443249
0.21,-59100.6538,-2.331427236
0.22,-53980.8452,-2.671294724
0.23,-48183.38468,-2.921632096
0.24,-41887.6289,-3.076878157
0.25,-35286.81655,-3.135123782
0.26,-28582.19516,-3.097747498
0.27,-21976.91272,-2.968956941
0.28,-15669.85458,-2.755296387
0.29,-9849.623163,-2.465165654
0.3,-4688.863847,-2.108379866
0.31,-339.1349576,-1.695785579
0.32,3073.49694,-1.238937854
0.33,5451.982962,-0.749835246
0.34,6730.821612,-0.24070486
0.35,6877.517135,0.276172959
0.36,5892.937189,0.788611846
0.37,3810.586842,1.284650199
0.38,694.8601985,1.752676719
0.39,-3361.629389,2.181561011
0.4,-8241.506439,2.560798326
0.41,-13806.71876,2.880675904
0.42,-19903.07624,3.132466094
0.43,-26365.06164,3.308648406
0.44,-33020.73471,3.403158515
0.45,-39696.56231,3.411657034
0.46,-46222.0257,3.331804529
0.47,-52433.8802,3.163522429
0.48,-58179.97078,2.909212831
0.49,-63322.5363,2.573905401
0.5,-67740.96439,2.165298073
0.51,-71333.98519,1.693661944
0.52,-74021.31371,1.171590585
0.53,-75744.7666,0.613589836
0.54,-76468.88828,0.035524029
0.55,-76181.12434,-0.546044919
0.56,-74891.57813,-1.114572474
0.57,-72632.38046,-1.654238568
0.58,-69456.69542,-2.150586047
0.59,-65437.37882,-2.591040647
0.6,-60665.30188,-2.965280573
0.61,-55247.35245,-3.265444499
0.62,-49304.13015,-3.486186041
0.63,-42967.35908,-3.624597355
0.64,-36377.05228,-3.680032976
0.65,-29678.47427,-3.653867429
0.66,-23018.95948,-3.549217877
0.67,-16544.65584,-3.370657812
0.68,-10397.27059,-3.123941221
0.69,-4710.901036,-2.81575011
0.7,390.9655898,-2.453472521
0.71,4798.201236,-2.04501362
0.72,8416.458989,-1.598639147
0.73,11169.20112,-1.122848287
0.74,12999.27855,-0.626271742
0.75,13870.02145,-0.117590088
0.76,13765.81663,0.394532719
0.77,12692.16399,0.901505811
0.78,10675.22105,1.394862798
0.79,7760.860526,1.8663128
0.8,4013.280593,2.307795546
0.81,-486.7799392,2.711544679
0.82,-5644.159024,3.070162965
0.83,-11351.65131,3.376712612
0.84,-17492.57607,3.624823092
0.85,-23943.45689,3.808817798
0.86,-30576.73843,3.923859314
0.87,-37263.46953,3.966111067
0.88,-43875.88854,3.932910521
0.89,-50289.85536,3.822946078
0.9,-56387.08465,3.636426518
0.91,-62057.14601,3.37522865
0.92,-67199.20797,3.043006393
0.93,-71723.51389,2.645243374
0.94,-75552.58777,2.189232198
0.95,-78622.17625,1.683967193
0.96,-80881.9396,1.139943933
0.97,-82295.90818,0.568867665
0.98,-82842.72225,-0.016717121
0.99,-82515.67277,-0.603854059
1,-81322.55758,-1.179629707
1.01,-79285.36457,-1.731622561
1.02,-76439.78875,-2.248313784
1.03,-72834.58715,-2.719432281
1.04,-68530.77255,-3.13621524
1.05,-63600.64625,-3.491575229
1.06,-58126.67056,-3.780174852
1.07,-52200.18434,-3.998418075
1.08,-45919.96855,-4.144372942
